Date,MXWO,MXWD,LEGATRUU,HFRXGL,RX1,TY1,GC1,CO1,ES1,VG1,NQ1,LLL1,TP1,DU1,TU2
01/07/2008,1392.580,352.560,369.507,1315.500,110.400,113.875,944.500,140.670,1286.250,3321.000,1869.000,1072.200,1322.000,102.305,105.578
08/07/2008,1365.940,344.850,370.695,1302.420,112.140,115.234,923.300,136.430,1273.750,3313.000,1868.500,1044.300,1278.500,102.695,105.500
15/07/2008,1323.970,335.200,376.523,1298.560,112.420,115.422,978.700,138.750,1211.500,3171.000,1799.000,1006.100,1253.000,102.845,105.695
22/07/2008,1377.580,347.950,369.749,1282.410,110.210,113.469,948.500,129.550,1274.250,3350.000,1824.000,1036.000,1292.500,102.340,105.055
29/07/2008,1353.230,341.740,369.115,1276.380,111.640,114.109,916.500,122.710,1261.750,3344.000,1842.000,1027.300,1280.500,102.790,105.313
05/08/2008,1360.740,342.810,369.345,1276.250,112.900,114.703,878.600,117.700,1283.000,3395.000,1869.000,1000.900,1246.500,102.940,105.523
12/08/2008,1357.050,341.340,364.627,1262.700,113.800,115.719,808.200,111.150,1291.500,3445.000,1944.750,970.000,1273.000,103.310,105.750
19/08/2008,1314.420,330.280,363.365,1258.450,114.330,116.266,811.100,113.250,1268.500,3292.000,1919.250,938.300,1234.500,103.445,106.047
26/08/2008,1321.830,331.780,363.517,1259.470,114.650,116.781,822.200,114.630,1271.750,3310.000,1891.500,938.100,1227.500,103.380,106.055
02/09/2008,1328.560,332.910,362.395,1262.500,114.210,117.391,806.600,108.340,1276.500,3419.000,1851.750,924.000,1214.000,103.190,106.313
09/09/2008,1264.910,316.370,361.995,1248.380,115.080,117.859,788.100,100.340,1226.500,3266.000,1728.750,840.400,1192.500,103.730,106.438
16/09/2008,1228.090,304.930,362.153,1235.830,115.430,118.984,777.100,89.220,1214.250,3084.000,1726.250,806.700,1112.000,104.085,106.969
